port_month_id,month_start,port_id,congestion_index,congestion_level,avg_vessel_wait_hours,berth_utilization_pct,customs_clearance_avg_days,strike_flag
P016-2024-12,2024-12-01,P016,51,Medium,14.6,77.1,1.4,N
P016-2025-01,2025-01-01,P016,63,Medium,11.6,81.6,1.98,N
P016-2025-02,2025-02-01,P016,63,Medium,11.3,83.9,1.93,N
P016-2025-03,2025-03-01,P016,64,Medium,14.1,79.4,2.02,N
P016-2025-04,2025-04-01,P016,58,Medium,12.6,80.3,1.81,N
P016-2025-05,2025-05-01,P016,58,Medium,8.2,85.5,1.26,N
P016-2025-06,2025-06-01,P016,65,Medium,17.4,80.1,2.1,N
P016-2025-07,2025-07-01,P016,61,Medium,16.7,81.1,1.55,N
P016-2025-08,2025-08-01,P016,63,Medium,14.6,82.8,1.65,N
P016-2025-09,2025-09-01,P016,63,Medium,20.6,75.0,1.42,N
P016-2025-10,2025-10-01,P016,53,Medium,10.7,78.2,1.65,N
P016-2025-11,2025-11-01,P016,60,Medium,12.7,85.8,1.35,N
P016-2025-12,2025-12-01,P016,55,Medium,12.7,80.8,1.21,N
P017-2024-01,2024-01-01,P017,42,Low,11.8,69.9,1.27,N
P017-2024-02,2024-02-01,P017,47,Medium,8.7,69.9,1.72,N
P017-2024-03,2024-03-01,P017,33,Low,9.9,65.7,1.62,N
P017-2024-04,2024-04-01,P017,39,Low,9.5,68.1,1.38,N
P017-2024-05,2024-05-01,P017,31,Low,6.7,64.0,0.85,N
P017-2024-06,2024-06-01,P017,50,Medium,11.3,74.0,1.67,N
P017-2024-07,2024-07-01,P017,42,Low,7.7,74.0,1.38,N
P017-2024-08,2024-08-01,P017,40,Low,6.6,62.6,1.72,N
P017-2024-09,2024-09-01,P017,45,Medium,10.7,75.6,1.3,N
P017-2024-10,2024-10-01,P017,46,Medium,8.9,78.2,1.42,N
P017-2024-11,2024-11-01,P017,50,Medium,8.0,71.2,1.25,N
P017-2024-12,2024-12-01,P017,53,Medium,12.4,73.3,1.58,N
P017-2025-01,2025-01-01,P017,47,Medium,8.5,66.6,1.1,N
P017-2025-02,2025-02-01,P017,51,Medium,15.3,71.8,1.33,N
P017-2025-03,2025-03-01,P017,53,Medium,11.0,77.9,1.59,N
P017-2025-04,2025-04-01,P017,44,Low,12.8,70.7,1.11,N
P017-2025-05,2025-05-01,P017,43,Low,10.3,64.4,1.32,N
P017-2025-06,2025-06-01,P017,35,Low,8.3,66.4,1.32,N
P017-2025-07,2025-07-01,P017,40,Low,11.0,71.2,1.14,N
P017-2025-08,2025-08-01,P017,57,Medium,12.6,78.4,1.81,N
P017-2025-09,2025-09-01,P017,36,Low,6.3,76.9,1.39,N
P017-2025-10,2025-10-01,P017,51,Medium,8.7,78.2,1.6,N
P017-2025-11,2025-11-01,P017,28,Low,6.8,58.4,1.12,N
P017-2025-12,2025-12-01,P017,35,Low,5.4,61.2,1.6,N
P018-2024-01,2024-01-01,P018,59,Medium,13.9,80.6,1.36,N
P018-2024-02,2024-02-01,P018,53,Medium,12.8,76.3,1.64,N
P018-2024-03,2024-03-01,P018,58,Medium,10.6,79.4,1.52,N
P018-2024-04,2024-04-01,P018,54,Medium,10.3,77.0,1.94,N
P018-2024-05,2024-05-01,P018,61,Medium,12.6,81.3,1.57,N
P018-2024-06,2024-06-01,P018,60,Medium,12.7,81.3,1.58,N
P018-2024-07,2024-07-01,P018,71,Medium,17.9,85.8,1.84,N
P018-2024-08,2024-08-01,P018,60,Medium,15.7,73.0,1.47,N
P018-2024-09,2024-09-01,P018,60,Medium,12.5,80.3,1.19,N
P018-2024-10,2024-10-01,P018,66,Medium,13.3,85.8,1.92,N
P018-2024-11,2024-11-01,P018,54,Medium,12.4,77.3,2.22,N
P018-2024-12,2024-12-01,P018,48,Medium,10.1,76.4,1.52,N
P018-2025-01,2025-01-01,P018,60,Medium,12.8,81.2,2.13,N
P018-2025-02,2025-02-01,P018,46,Medium,9.1,76.3,1.14,N
P018-2025-03,2025-03-01,P018,69,Medium,16.7,77.7,1.24,N
P018-2025-04,2025-04-01,P018,51,Medium,12.9,77.4,1.49,N
P018-2025-05,2025-05-01,P018,67,Medium,11.5,84.3,1.93,N
P018-2025-06,2025-06-01,P018,62,Medium,9.6,72.2,1.65,N
P018-2025-07,2025-07-01,P018,55,Medium,11.8,76.3,1.44,N
P018-2025-08,2025-08-01,P018,48,Medium,10.3,67.2,1.53,N
P018-2025-09,2025-09-01,P018,70,Medium,17.0,89.9,1.77,N
P018-2025-10,2025-10-01,P018,54,Medium,11.0,78.6,1.02,N
P018-2025-11,2025-11-01,P018,54,Medium,16.1,76.4,1.39,N
P018-2025-12,2025-12-01,P018,67,Medium,14.6,78.9,2.06,N
